fname,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y
1.jpg,-0.0,0.0,-0.5154005338451849,-0.10857800404491251,-1.0,-0.2975939744752075,-0.599406172210059,-0.4516563219192413,0.22853372521968646,-0.4492921403166191,-0.40095372342020796,-0.43051119324918063,-0.7986084035629667,-0.6667828997838066,-0.7413849983504782,-0.8277494943859405,-0.7681672315028639,-0.9422205174698376,2.235054877497683e-16,-0.38957388939256576,-0.026422337522118335,-0.6986191505683801,0.1734996850913239,-0.8726410488876492,0.2875865998860335,-1.0,0.3998440452268844,-0.3480437966385383,0.5447320277119638,-0.5558407141362717,0.48567915304561693,-0.39470674384545645,0.08619500344899989,-0.24123718529883534,0.9442161773085808,-0.3197363832903271,0.9156044747023366,-0.4340400306855429,0.744654050325406,-0.34028872306297514,0.5711543652340824,-0.24679545296045752
100.jpg,0.0,0.0,-0.3640597151070099,-0.13993052122952795,-0.7273012780377152,-0.27971101965212053,-0.919367002262421,-0.4248992765952281,-1.0,-0.5132765848218545,-0.3127161652067285,-0.5335981712826863,-0.3023342341675554,-0.7152558452527755,-0.28249854472931984,-0.8215881951996172,-0.3322057902769917,-0.9406724837359669,-1.0099164237076162e-16,-0.5130519842033789,0.07141528324268301,-0.7562736415998502,0.09159703704889091,-0.8629606697434351,0.14235847867703375,-1.0,0.21271956583924598,-0.4740460544001776,0.32357018405423393,-0.673658770090482,0.4145851128309864,-0.7669391358339448,0.46534655445912926,-0.9039784660905098,0.4246209795021873,-0.4351901474039117,0.616450659822727,-0.546780233064333,0.7774806113937192,-0.626803959214609,0.909567179495386,-0.6761753376380341
101.jpg,0.0,0.0,-0.3248706185052252,-0.11472827328403983,-0.7066132888452885,-0.24245072152005545,-0.871474390981772,-0.40070250806464985,-1.0,-0.5110712630140343,-0.2750917859639436,-0.50698959865811,-0.33697579200272576,-0.7227162044652229,-0.3282900495203634,-0.8417761047696618,-0.3767307161361194,-0.9734280508243296,-8.137703752335584e-17,-0.5242190167217254,-0.038831483907350646,-0.7751801196360855,-0.029891384161707907,-0.8946421491422714,0.036750218817737886,-1.0,0.17329248735556554,-0.48462500127982294,0.16987305634042738,-0.6874538160437195,0.23676901658315352,-0.7932137961031951,0.24612384202827875,-0.9121208237611401,0.32512497576850546,-0.40989287263943275,0.41440437517990036,-0.5510402224526493,0.5164580310515586,-0.6082657851599143,0.6415642090546485,-0.7007258449744266
102.jpg,0.0,0.0,-0.38970458656592866,-0.14048515066706516,-0.7193993262192518,-0.26566380458114824,-0.8755570681877503,-0.4282813221748227,-1.0,-0.541724859386463,-0.20663134455170812,-0.5438524033366845,-0.27517397120656173,-0.7252068445507159,-0.2526817091478788,-0.8422567453740184,-0.28913345352299646,-0.9738744124120315,0.0,-0.5317654131456675,0.045674292472683196,-0.7656892780479851,0.06848025076319628,-0.8831260359209846,0.09166228117719653,-1.0,0.17896370025901132,-0.4865846534249926,0.25635280288794327,-0.6713345379452762,0.33885491185923156,-0.7730779420155965,0.3620369422732318,-0.8899519060946117,0.3300084358851532,-0.40697361628128137,0.49943589181476905,-0.527629880716246,0.613652810942306,-0.5801993044045323,0.6968446882689115,-0.6817667717305654
103.jpg,0.0,0.0,-0.3507990002824976,-0.16519298908542332,-0.6141401127951005,-0.3445690507155897,-0.7909224115335779,-0.5389437764630078,-1.0,-0.6995597896768895,-0.19535396465241706,-0.5541292117714887,-0.20047010953828148,-0.7769840202462855,-0.1599302093061056,-0.8957211008539193,-0.20459241479039697,-1.0,0.0,-0.5310103275815258,0.04977835037015575,-0.734886947542174,0.0903182506023316,-0.8536240281498076,0.13148912204434676,-0.9721429686595776,0.1308581508345074,-0.44135078117591575,0.18126747241450245,-0.6450092610387002,0.27670186790269846,-0.7447681531321854,0.33993573930092946,-0.81174509554356,0.20844661725658273,-0.37061245446550806,0.3038810127447787,-0.47037134655899315,0.4216465109751204,-0.517990789079438,0.48577945636912057,-0.5841521399183037
104.jpg,0.0,0.0,-0.3574018992932372,-0.1404461483842271,-0.634428828724727,-0.29959267314961796,-0.8317129971700598,-0.47761606672842205,-1.0,-0.6064058931469247,-0.24256432364205646,-0.5590406293060413,-0.28065129736150024,-0.7744307693981847,-0.2849078741671009,-0.8578960469775926,-0.3178177349589287,-0.9900314081715657,0.0,-0.531995459485635,-0.036534228721838126,-0.7474196058267668,0.00937813535047584,-0.8982213371529153,0.08520820116019767,-1.0,0.11000434435273031,-0.5012857762742481,0.1564933629178939,-0.6528614898273707,0.2574078991665731,-0.7883083795478256,0.253495203990138,-0.8712101735814974,0.24866197269168763,-0.42190600944829626,0.32449203850140945,-0.5236846722953811,0.4544037403654812,-0.6098979948555346,0.534434828598063,-0.6291618547824348
105.jpg,0.0,0.0,-0.3153930970300235,-0.13113618315739278,-0.6512182703460926,-0.2302508339921019,-0.8852556580615576,-0.3824174208895078,-1.0,-0.5122557850639676,-0.2599505003911414,-0.5179471873717192,-0.33196602465539116,-0.7123036466203825,-0.3281068759947131,-0.8199428529431271,-0.323558172156133,-0.9274529943946409,-1.66220451431874e-16,-0.5055497894629287,0.02952948396320556,-0.75259160468864,0.05475304146098001,-0.8924898585484862,0.05930174529955996,-1.0,0.17859479107658258,-0.47212198781412507,0.24630438887540104,-0.6761717566625258,0.33127646947748884,-0.8044747866396347,0.33582517331606887,-0.9119849280911484,0.3571895821531653,-0.4386941861653213,0.5017061854279623,-0.5562642173022215,0.625305157670416,-0.6410795559451402,0.727335720644169,-0.694498072093486
106.jpg,0.0,0.0,-0.39550585587528375,-0.09209215190068595,-0.7024403727998808,-0.2089443931547166,-0.900963759052395,-0.38524185730062693,-1.0,-0.47378473861833825,-0.29727144050218984,-0.5255156223799675,-0.3370137584642589,-0.7177197550685279,-0.3466768348866662,-0.8309119013798114,-0.3573671890622366,-0.9438207228061113,4.73459252479554e-17,-0.5218555274372204,-0.0005136388765815057,-0.7826416287133388,-0.009951263120336522,-0.8962279242693784,0.048540834290688326,-1.0,0.20767282379833993,-0.49315201825614496,0.3254588441949005,-0.7005853453576157,0.3362119328897481,-0.8479576516029057,0.39550585587528386,-0.9516189029737548,0.46468830746187906,-0.4206266298408562,0.6329697345153564,-0.5832281304990565,0.7416063173660913,-0.6430675026356922,0.870659065334081,-0.7370870347063346
107.jpg,0.0,0.0,-0.3534298017969723,-0.09852859134081442,-0.6924380691686739,-0.23004052606155648,-0.8763359853361441,-0.3492858281992069,-0.9839201177223919,-0.4617161425453406,-0.3223354411272978,-0.5090266778820051,-0.3989456968919181,-0.6880305047996236,-0.4291506416114001,-0.7939492442600553,-0.3839312184998522,-0.8931278416173115,-2.319194620226399e-16,-0.5164916716899638,0.03139083265307196,-0.7548009191050529,0.015783410294210848,-0.8940812605395682,-0.014421534425271209,-1.0,0.3068485028164837,-0.4906699092121801,0.3238178010442851,-0.6959958132473414,0.38452416246664667,-0.82846116689034,0.43098497739908753,-0.9283214357475672,0.522609711555774,-0.43792327395767305,0.6770716149059073,-0.5970889633123708,0.8763359853361437,-0.6836975151807207,1.0,-0.7766679505580898
108.jpg,0.0,0.0,-0.37943346406538736,-0.09765340481828452,-0.6671980977802884,-0.22671462167954776,-0.7938092830386929,-0.34567890405635043,-0.8393779826571254,-0.4595655372993492,-0.3338647644469549,-0.5017733481278214,-0.35631772899746295,-0.6885141761580911,-0.40201776801969047,-0.8019868651125258,-0.3798335557752138,-0.8748994236829437,-2.673733412356191e-17,-0.5180065765525357,0.00040009170982638977,-0.776773710792948,-0.04596879132825897,-0.8911326521076579,-0.011426528130167288,-1.0,0.24126441127302048,-0.5028903567174184,0.3103489376692039,-0.7206250525021026,0.3563177289974627,-0.8655055534995162,0.3909913315993495,-0.9747868456804223,0.5512132572323979,-0.4467416984265732,0.6896510623307962,-0.6225577033952541,0.8844152511619363,-0.7213864805862829,1.0,-0.8251761793448211
